Actual Solution,Predicted Solution
5Vkim,5N1km
WCTKzRA00,MCTK3RA00
NYA5,NYA5
Y7IMUKb,V7MUK6
bnphWN,b9nPhWnN
3s3Pk,3S3pK4
s48oL,S4p80L
bmdSbFJr,Y0m9sbifT
AWN5,AW6C3J8K
2beGxwW,2bGxXwN
XBEZ,xBEZ
v3sbdKF,VQ3BD4F
SVQr,5NQ8
Duarud,DUA62Ud
XrLB9KJzC,Xr18gkJC
T0S599r,T0S599f
qbIDEDCR,9bDEDCR
5dRn,5dRn
FocS,FOC5
4BiNGBca,48NgBc
Pwxw,P7XkN
uYCdVt8Gy,UvCdvNz8GY
jTI4L9foB,i7TvL4Y9fQB
f9aXg3G,fgaxg3G
J6XSE,6x5E
ZPnMK,LQFmK7x2J6
PsXpFu,p5xk9w
80IcPwC,80ICPWC
HEKP,a3E4P
XzWxU42HL,X=w^U42HL
Ff0B,Yf0B
La4JHmGr,K84JmGr
i3OltY,i30/tk1
vQR4qoNN,L0R4O1N
42UK,42uK
m5nq7,m5Ng9I
8wcH,8wCH
YFYN,YFYA4
fBGW,1BcW4
Ga4hm,Ga4Jm
HsmpK,g5MpK4
lSZj,rZj
MFSN,M4C54?2C
qr4BN,aR4BN
R5rvh,R5JvB
MAES,IVAA5
6SicwqQ,b5LW9Q
gDsKb,GDSkB
nxwzC,nTwZc
ARNS,4RNS
ytnHDwE,y7zHDwq
3quX9fF3E2,3q4%fF3R
6D2DtFY,6Dd9t4Y
GYR5,G7B5
6EHF,b6HF
RcU8J,RcU09
NCCRV,NCR4V
KDMH,KDMN
2eI8adfIZ,2K18aAf71
CVSS,CVsS
y6c4oZ,Y6c4Oz
FRYWFHr,RyZH2
HXK4,HxKA4
JGSQ,JgD
MPAM,MPAM
GRFUBtjY,6RFU8FY
cTs80B4,c7S8B4
SM55,SM55
uzOrRg,uZ0Rg
brvSn6,bXVn6
Ayx8rzrM,AX8rZ1M
XYNg,X7NG
CZnvklqZif,CvvV1qZif
SZQP,5rQP
NctrQ,Nc7fQ
AzFa7,AzZd
614FGSK,6zAfGSK
V9o0h,v900h
C44Y,Ca9Y
3NZCg,3NZC8
VDJG,V9sT6G
5uWv9WLdm,5uN9VLm
13E4,1E4
9ACP,9aCP
fKa3D5,kA3D5
XzTZ,XzTZ
OrFvBpK,0RFBBPM
aCHZ,aCHz
twyiobX,8z)iQ%X
YegOxieih,Yeg4xe^
Kz3YtMNvvX,K23YMNVbR
F55DE,F5DE
PPTCq8hPy,pP7-cb8zP'
Iq9NWcT,a9vWCT
VqLFrMkD,VALrAMKO
VTFC,VT1FC
4TJ3,4T3B
W87HU,YB87HU
DZ53IZX,D-a531x
4JCP,4JqP
0dmAJv,OdMA1v
0xOd1cD,0x0D1C9
OLD0Ss,0PQsS
0oJKO,ooJK0
ZDUSpG,eDUSg
TErL,T3sL
O38lV3,O3φθV3
ZDTT,ZDT
9MKzUhm,9MkZvpm
kZKj2DkIER,AK2DvEr
PTKW,PTkWf007
KuLisQ,KuLiSQ
sS46FX,S94oFk
C6HF,C0d3-F
qfww,aJWZz
yFHJqzXd,yF#JaZ%d
d1YiR3J,d/\NiR3j
XscGBW,kSC8W
BJEA,BFA
fA0fIHfN,fAO7HHf2
fdPCu,f4pCu
HTV17bjRe,H7L1vojRE
3Ei2FWxB,3Ei2FWXB
ksfic6M,zSriC6M
yXVDSW,YxN0SW
2444,Z4q4
SYE7,SJE7
1mGAp,YmGAP
kgkQf8s1,R0KO_x8S1
j4jIYAb,AjYAb
vqkJp,L9kVp
X85J,X85J
tEM2tK3,t9Ztb
HdSFfeDk,HdSf4CDK
7SWEb,7S8wEb
EU5T,EJ5T
VPJW,A3tN5007
ofgGER0,0fGgER0
US8A,KNFY
5BXW,gBxW7
vzDqIAvpe,V3q1ANe
NGAOdLq,NG4odLq
0r0M,0r6M
DClHH3MTn,DCI7H3MT1
02stJP,0eSTJ7P
pHay8,p#aY8
YJ74,YV7A
OUMvOYoi,OUMKOYO8
8BtmLGOI,9BmLG0l
jW9arI,Jz9AR1
qkQ43yybL6,9kQf3Yd6
TKCV,TKCV=
RVMB,rV1mB
HF83,HF83
WkkMPZG,WkLmPZ9
cZZg3YjC,Cz1285jAc
ATvf,N7Vf
6sfgxL3J9o,6S*9Xb3gO
P8f2,p8fJ2
gie6YF3C,9iV6VF3C
uHAdD368mp,u7AdD3g6nQ
DUNA,DWA4
nvbM,NBM83M
4kazz,Ak4L7e
xAQxCrivO,xAQxCrXP
T8HY2,r8HY2
31E46,31E46
Oa5Hb,9ASHB
4UKH,4uKH
dy61O,Dv6lo
LcCuhd7b,LcCWhd76
mLf94S,mLj95s
5EJP,5Fj9
X20goK,X20g0K
xJo7,rj0>
hhBKU,6h8kTU
MVAT,MIV47
rUhlx,rUh1X
Ijkcc,1N*CC
5hxuhvjk,5hXuVvk
4LTSY,4LTSY
5SYM,5SYM
crkPPdw,Cr1PpDyW
C3GM,C3dM
AWTS,AWTS
KqM26,K9M26
LOKV,L9gXEb8vH
2j6rxokL,2j6rXQ4L
nmNU4,WMYJ7
HHBP,k4d3P
m41r2,mAr2R2
xM1MTA,X4lM7A
qidqWi67w,g1d0w6w
ZcvaXDo,C9aD70
jcMOxQU,jCMoXd
GKnC,GK^11C
AFNX,A9INxJ2
QZNU4,QZwN4
jsbLqMW21,jsbq4w2l
ysr879Q,ysr879Q
L0uo9,L0v09
s0fRIIDIQU,S0fRyVD1dC
gEuRdEM,gEudKM
MJMH,D3FgHt7
YFB7,YFB87
BDYF,RDYF
oLuyCRvh,dUyCRVh
YxVVQ,Y4WVе
dLWlz2o,dW1V2o
ZoCWqsj2Q,ZQcW9Si20
5EsDijUEZ,5gSDjU62Z
WVrp,W4RP
huPN5P,64UPN5P
VHB8,VFb8
KKuBfD,AKuB7D
PAYN,PAYN
f2ZMidNgZ,f2miNgz
SRBW,SR3W
gTVAxHT,gT^AXHT
iQy9L,1Q9v9V
O7fvlU0,7f^VIUO
Iju0F,xv2YKF
bDzbisjFr,bDZb.iSfR
cSOe,cS0E
RVmoahc,R1mOahC
YXzc,YXZJc
8K8beZj,oPK8veZj
oh1bq2Nas,Ov1bg2N8s
