Actual Solution,Predicted Solution,Cross Checked Solution
SJTU,sTU,"sTU
"
OjzrO0,OJroo,OJΓroo
9yqMong1,9yqMOnq,"9YPMON9G
"
OY9VIw,o%VW,O%VW
eKLJx,ekLJx,"eKLJx
"
ydMz3CV2,ydM3CV,"dM≥CV²
"
tm3GJ,TM3GJ,"TM3GJ
"
IHsBxfYuD,IHSBxKvD,"IHSBXWDS
"
LqsXuE,LaSXuE,L&SXuE
bcKp3,BC74P3,BC+QP3
xU4U42g,XU4U42g,XU4U429
yI4rv,17RN,xPRN
Mt1XGUVm,MXGUvm,"MITXGUm
"
7XsXzNO,7XSZNO,"7XSZNO
"
TYURtD,TYUrtD,"TYURtD
"
bGMTq,bgMTq,"bGmMQq
"
DiON51ylQ,DiON5]y\Q,"DION51Y1Q
"
2BTqS,2BT9S,"2BTqS
"
6Wjv8da,6wJV8dq,"6L4V8dq
"
uhQruYw,4bqruYW,"yhoRuYW
"
rxEl,rXEI1,"REX1
"
P5uuIXgC,P5uIixgc,P5U1XC9C
PvGlnZ,PVGNZ,"PNGNZ
"
2oknR,20knR,"20kNR
"
6ue8etyv3,6uesetyVB,6u8ety√3
ln1ICxF,lb/CxF,"1hlCXF
"
u8t5c,u8t5c,"u8t5C
"
Hfj87c,Hrjg87C,"HJ87C
"
Mmuz,MmvuZ,n7mWZ
Drtq,DrQ,DrQ
t1zX,HZx,NZX
FkA9eg3gD,FkA9e83xD,"FkA%e&3&D
"
K0QBsgp6,K0QBSgP6,KOQBSgP6
S7wtR,SWLTR,"SWTR
"
VKzLv,V^2LV,"V<2LV
"
1mGAp,\mGAp,ImGAp
vTn9,V1NG9,V1NG9
wCwdZc,WCDWZC,"WCDZ
"
CmrcOR,GMrCOR,"CMRCO
"
fZ1lKw,fZlIKw,FZVKW
oUzfO,OzfO,"OZZO
"
JKWeA3,K^2EA3,"K≠EA3
"
C3jqJ1Yklc,C3qJYkC,"C3qJfKc
"
Tnjub,TnJwB,"TnJwb
"
AweT,AWetT,AWET
6KAHAVZm,6kAHAvk>m,"6KAHAVKm
"
TYXTMG,TLYXMG,7XYMG
Mmuz,n7mWZ,"n7mWZ
"
BRnni8XLch,BRhni8Lw,BR≠n1∅LCW
DiON51ylQ,DiON51y\Q,"DION51Y1Q
"
Hv7ir,HN7iK,"HN7K
"
230a5s,23OaaS,"230a5S
"
nZe598xq,n1e598x9,"nz€598x9
"
duHlxe,DuHLXE,"DUHLXE
"
2Ffbq0TD3,2fAfaqOTD3,"2fbqTD3
"
RE83,RE83,Req833
4vitovy5N,4V1O5N,"4V10^5N
"
Gf4TM8,G4TM8,"G4TM8
"
fp5R,P5R,"P5R
"
atzdo,axZd0,&XZ0
