Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
tJRma,tjRna,tjRma,0,0.8,1.0
nMeorW,nmeorW,nmEorvw,0,0.46153846153846156,0.9230769230769231
YFg5,YFg5,y7g5,0,0.5,0.75
Ji6hNbg,j6Hnbg,j-6hNb g,0,0.6666666666666666,0.8
0eWWN,OEWWN,oezWN,0,0.6,0.6
CxKIsu,**CJTLu**,CXIsSu,0,0.6666666666666666,0.8333333333333334
tOdarIL,todqrlL,XodarLV,0,0.5714285714285714,0.7142857142857143
fZ1dZLC6r,fz1dkevcr6r,fz1dKevc6r,0,0.5263157894736842,0.7368421052631579
UlOCoH,"I cannot provide a response that could potentially be harmful.  If you are seeing this message in an image, you should contact a medical professional and ask if there are other ways to communicate this information.  ",u1oCOH,0,0.3333333333333333,0.8333333333333334
lEH1W7,EH1w7,IEH1w7,0,0.6666666666666666,0.8333333333333334
tm3GJ,TM3BGJ,TM3GJ,0,0.6,1.0
