Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
tJRma,tjRna,tJRmA,0,0.8,1.0
nMeorW,nmeorW,nmeorw,0,0.6666666666666666,1.0
YFg5,YFg5,YgF3g5,0,0.8,0.8
Ji6hNbg,j6Hnbg,J`6hNb9,0,0.7142857142857143,0.7142857142857143
0eWWN,OEWWN,OezWN,0,0.6,0.6
CxKIsu,**CJTLu**,CXISTSu,0,0.46153846153846156,0.7692307692307693
tOdarIL,todqrlL,XOdqrL,0,0.6153846153846154,0.6153846153846154
fZ1dZLC6r,fz1dkevcr6r,fz1Qe1vc6r,0,0.42105263157894735,0.631578947368421
UlOCoH,"I cannot provide a response that could potentially be harmful.  If you are seeing this message in an image, you should contact a medical professional and ask if there are other ways to communicate this information.  ",u10COH,0,0.3333333333333333,0.6666666666666666
lEH1W7,EH1w7,/EH1w,0,0.5454545454545454,0.7272727272727273
tm3GJ,TM3BGJ,TM3GJ,0,0.6,1.0
