Actual Solution,Predicted Solution
a5jXb,a5jXb6
F2fXaJ,F2XdJ
KnAr,KRAR
OKYC,YXc?
hLwWQ,hNWQ
N0OX,NyOX
xFxxJ4JA,PrxV41a
CECK,CHECK
bXCB,bXCB
FLBD,HLBD
VQ4A4,NQA4
qycR88f,qyCR88f
DQeU0uqG,DOgoodG
VkQIYB4Yvh,KONS4YWH
dUhEIrZb,AUSEIZO
QuwhI,QU41
vEVTmNM,VeYmNM
dX1sp,dT/Sp
WvHhI,WHEEL
PRnU,PenU
KH6hjl,Km6H
A2VdzF,A2vdJF
BCBpjTwEci,BCBPiTWECl
olhm3J3v2l,oIm33V21
T4CF,T(&F
7KZg,7kZgCSkDiEakUAdaHngOOGs
LvhLNVspx,YHLNSpx
3OboiP4N,3ob4P4N
oNOhz,NOW
Em752,FUN219
DJIS,M2TR1CKY
bxoj,bXoj
wMfA,WMfA
THDY,THDAY
Em3QTRnD,EmsQTRnD
l0aZ,10aZ
01G6I,01661
5nTBJXxH6,5NTb1-x06
Tq1qpYz,T919PYZ
FZ3p0ZHi,FZ3p0zH
J9h2D,JqhHD
DU414m1dhX,DU44rvdh17
w7NXT,W>V+T
ENevr5s9Y5,ENewsads
bIn85R,bIN85R
zwgCyrm,Zw3drm
DV5D,DBSD
0dvanOnBt,0dYanoNBt
5l5QliX,S75Q1X
W9JMO2h,w9MO2h
5DVR,DVR
Pa0lFH3,Pa01FE3
YORN,Y0R4E
YYgiEj,YGSEJ
Lmnir,Lmnir
DWhwv,DWhnWV
B5W5,BSWS
A9umwW2,49umskW2
1TEOA9,KfOA9
PU0OFW,PurdueW
eLfu7IJB,eValu7IB
bJ1bs,bN6s
aaJF,aaf
nshYOoTW,nshY00TW
5FfPNkS,5TipNks
vfOtb,V6tb
yh8Ev2vXb,yh8EVHYTb
RQiAk,RoiAx
qoOt,q00t
QRMA,QZMA2009
43PyUd5O,-3pyUa50
frlgTLi,ProTV
nUBUP,nUBU
egX4qzDsT,C8+M47D5T
kWz1TcC,kWz1Tc
0u390L2jA,mU39oVJ
urRxuM,urRxU^
RX5G,RXSG
Vrq7r,V207R
VtkZ,VtkZ
wKIA,WIKIA
ptwO,p7wo
TOxNqI,TOXiq
4AYM,4AYN
FR3U,FR3U
LaKn,Zakn
XXqj,XxQj
s388w,S88w
K6s88,K6988
ljRpBpstZZ,FRpostZZ
QPhbc1z,QphbClz
Jr58C,J58C
cThV1,CTHEN1
Xa8s3,Xa8s3
0XG0,XG0
Iqkw9,IQTW9
WJB04,WJB0x
FUnY8,Fun8
CBOa9,CBOa9
jJlCP,jJ1CP
RGER,Roger?
VMggu,Vega
fq4occDU,IqAOC0U
xXx3x66,X3X66
UKF7,UKF7
Qn1kSuOR,QliksOR
rZYbt,RYBT
a7X6V,e7x6v
XJnmlK,XrWmT
7WNrF,Jr.NY
qIoGQ1,q1o0c1
dk8H,qL8H
A8XE,A8XKE
4343,4343
UYLP,BTiw2000z
bWOqX,Bw0qX
BZCM,B2CM
7kWW,7KWN
PS10FGk,Ps10fGk
1377,Fjklf
WrKe,wrke
TgGJ,T8GJ
HIwMWd3,H1wWra3
P8CK,PBCK
XKFI,h3ll0W0rld!
X3WR,X3WR
sRNP,SRNP
h1EU6,h1EUr6
wz2b,WZ2b
lIaaMb4L,Kaamb4L
6GAMEwbV,6GAMEBoV
5sbWX,J5SbWX
tvPqHMP8,tWqHnP8
1ICtq,Icqta
0YCYlIhOY9,OYCW0Y9
3pbBK,3pbBk
yoWpL,yOWpL
NAaj,N4a
mfA7TbGB1,mfA77bGBx
dLn5mV,d1n5mV
3AAmFmngu,3AmFn8su
8PMMdbtlY,SPMd6V
1ObtbUwV,10btbUWN
D5HIYX,D5WYK
PyaPq,Rycq
KThM3dr,kitf9bar
cCGGif,cGif
zz2j8U3,ZL2j8U3
0BWa4Wq,OBAAWQ
EKXy8Js,Br+y8jS
WrRzCItN,WRACjN
qxL93cwn,qRx930WN
U1xAPtuLR,UserbUfR
6X4HG,6x4IG
8DRCQ,8DRCQ
9Wvx9i,q4Vxi
D37MB,D37MB
o5pY1f6jm,5PYUhm
wPnM,w0nM
ExktkuTT,ExkUTT
X7XC,GSIONNS15066
mFYhClCiB,mMaMcICiB
7mN8tpA,7pm8stpa
6G1I6rY,6n167y
EB4B,EBAB
9Hp15XA,Hr15*A
AtwoTGB,AtnOTGB
UUHTnN1Ln,UHFmWn
Ek90un,E90un
Q58ymGT6r,q58ymGT6r
Z1itfh,Zwith
xTzW,XtZW
1HDBFe7,VHDoFe7
r2Mqj5,kMqJ
83623,83o23
9dhnj,9AhNj
AUNGogl,AUNG0!
zEjERxJm,ZERXEF
hBKbh,hBK0h
mW1USH,mn1uSH
jzP0,zPO
yxCQS5Uhs,TH5COS5UIS
yD0zJ,YDOOZJ
GYyuR,GYLR
vkTydHmu,VkydHmu
UOgxpMj,uO5XpMj
yNonQT,YOUrT
hAJD,HAD
KDnH,DnH
U8Jhi2Xa,U0sh1c2XA
ny8Wv,nY8wz
FdPqO,F4P90
1WFZL,1WFA1
KUMW,KLMW
knV8,knV8
srrfCm720,sRvfCm20
ioxDPy,i0xDAy
A2NfE,A7NFh
Ydsb0,YdSb0
M8fedaiAwy,Mofedactivity
UfRPi,WRpi
4N9hBnEnYK,W9hBnFnyk
JMNQ,DMYC
cVOm,CVOm
b94cYK,b9cYK
DCRW,DEAN2006
yh8Rg6,Yh8Rs6
x70AHxz,x10ph+z
J2ZJQ,J2ZJQ
4a3MWP,4G3tR
KBHC,KPHIC
BH6T,BHBT
ukZom,uk20m
s8IXE,SIXE
RNKK,R3sk
6GKNt,6GkNt
qbIbAnVK,qW8AwK
Te3B6,rE3B6
i0Mu0I,iOM501
Y4wHJGIQ,Y4WGQIQ
dIYN2FlcB,dLANvo1CB
d07Bh,d078h
SS6R,JSSR
teLROS,t3rroS
XlV5iA,+D5IA
FYS8,FYS8
7mUNzq7,1MUN97
bSxSJQ,9SXS1q
gdXk1S41,gL+kS4
mvf8,MV48
hBgNxZ4,hBgNXZ4
B7QT,B74T
FAUC,FAUC
STBF,STBE
C30o9wW3d,3009WW38
VBRBwW,VerbWM
Ui4n,Ui4n
hQWRk,nQwRk
KBXPsYT,KBXpSVT
4pQeqrA,ApgcRA
ODdGrFE7,OddGri7
mtipF,aStIPF
JYJO,J80
mHLit4D8m,mHittD8m
B1dV43,B1dN43
QziDUjsXIo,Q7idupXP
3lf4zOKs,3lfazoks
PXVL1TBO7,P+VvMBq7
LwrUWp,LwRuNp
fm3Bzowx,mBZowX
CjsUKb,qSUkb
jPMdn,jPMdn
KXfmI,k+Fm
TvuPkh,TVupn
9MYkD0QjKB,qmkeOOjKE
N9C42IqPh1,N9C42IqPh
NXEN,MXEN
7gbXpv,BV+pN
c1s9J,V9cDj
dbnJ9,dbnJ9
hPgMHv,WpgMHV
U9g1KRqV7,u98iKRAV7
XGRV,kzpsr
HCIk,hC1k
RS8hx,RS8hT
U6Yk7uq,U6YK7UQ
1Z4A,1Z4A
OdSv9RtVE0,OdS9RtVE0
RvTB,RVTB
G7K5,GrK5
W524,W524
GGPv5,GopVs
cgQM,C80M
2V3j,2V3j
ZmX1JIiW,Znx1JWw
QZXG,QrXG
jmx2KIEYX,-mx2kErt
YbHs,BHS
EGEg,EGE%
Z6WX,goldtowN
Djc7,Djc7
c8O6,C806
TylKz8sxO,TYK&SO
IJS5,JsS
ZRSJ,ZRSj
Vzi0y8guU,VZiq8uU
0XwRHQyo,0xWH0JP
RWXY,RUVXY
2d8BAid,2d8Ba1d
