Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
lQlskUPy,Volksupy,vQjskupy,0,0.5,0.75
RE83,RE83,Re83,0,0.75,1.0
Qhhosp,QnhOsp,QnhOsp,0,0.6666666666666666,0.8333333333333334
nm5sttj,nm5Stj,nm55tj,0,0.7692307692307693,0.7692307692307693
jf4mSA2,jkmSA2,JfXmSA2,0,0.7142857142857143,0.8571428571428571
qfww,afWlz,afWz,0,0.25,0.5
ldej,lAeJ,jdej,0,0.75,0.75
3NVEpzp,3NVFZPZQ,3NVEpZ,0,0.7692307692307693,0.9230769230769231
K0QBsgp6,K0QBsgp6,K0QBsgp6,1,1.0,1.0
LqsXuE,L&SXuE,LaSXuE,0,0.6666666666666666,0.8333333333333334
S7wtR,SwltR,SwItR,0,0.8,0.8
0eWWN,OezWN,oezWN,0,0.6,0.6
71Yi2,7XYi2,7Vi2,0,0.6666666666666666,0.6666666666666666
uhQruYw,4b0ruw,UhrYvw,0,0.6153846153846154,0.7692307692307693
CpVp,rVp,rVp,0,0.5714285714285714,0.5714285714285714
h6tnpzy1,h6tnpZzA,h6tnp7jA,0,0.625,0.625
5stvfX,5sTVFfx,5stVFx,0,0.5,1.0
pkL0VZ,pkLOv2,pkL0VW,0,0.8333333333333334,0.8333333333333334
uIkHn5ue,UNKH5ue,U*Hn5Ue,0,0.5333333333333333,0.8
Tnjub,TnjWb,TnjWb,0,0.8,0.8
FYHuX,FYHlux,FyHlux,0,0.5454545454545454,0.9090909090909091
VavUb,aUb,aUb,0,0.75,0.75
TBlNXcxk,BLACK,TBMXCk,0,0.5714285714285714,0.7142857142857143
P5WC,B5WC,B5WC,0,0.75,0.75
4Lfx,4Lynx,4Lyfx,0,0.8888888888888888,0.8888888888888888
nVhtWY,NHTWY,nhtwy,0,0.5454545454545454,0.9090909090909091
sFrU,SFU,SFSU,0,0.5,0.75
oVOsf9B91,OOSf9Bb1,OOf9B1,0,0.6666666666666666,0.8
m7WcainRa,m7wcainRa,m7winCRa,0,0.7058823529411765,0.8235294117647058
JhHn,Hhn,bhHn,0,0.75,0.75
hyL1a,h<1a,hl1a,0,0.6666666666666666,0.8888888888888888
AkFxea,AKFeaq,AkFxe,0,0.9090909090909091,0.9090909090909091
Ze9Mn,e9Mn,e9Mn,0,0.8888888888888888,0.8888888888888888
6rAY,6rA,6rA,0,0.8571428571428571,0.8571428571428571
fZ1dZLC6r,fziqkvc6r,fz1qevc6r,0,0.4444444444444444,0.6666666666666666
SG494l,SGAGAL,SG49AL,0,0.6666666666666666,0.8333333333333334
SCmmuZM,$C^nnZ_M,$C^nm uZM,0,0.625,0.625
WI2HlKtzZb,W2HktZ1b,W2HktZ1b,0,0.6666666666666666,0.7777777777777778
ShpRsJ,SJP,sHPRSJ,0,0.3333333333333333,1.0
zvraLcRJI,ZvraLCRJI,Zv^aLCRJI,0,0.6666666666666666,0.8888888888888888
45Da,45D,45Da,1,1.0,1.0
5qt8lsi,59t8Si,59testSi,0,0.5333333333333333,0.5333333333333333
IlzqwQfG,IzawQWOfG,IZaWNQfG,0,0.5,0.75
KuLisQ,KuLiSq,KuLiSq,0,0.6666666666666666,1.0
ME2Ncd23,ME2Ncd23,ME2NwCd23,0,0.8235294117647058,0.9411764705882353
AWYV,aWKY,aWxN,0,0.25,0.5
Mmuz,n7mWZ,lmnUz,0,0.4444444444444444,0.6666666666666666
92ADqO,92ADaO,92ADO,0,0.9090909090909091,0.9090909090909091
D0QvbF3j,DOQVbF31,dOQvbf3j,0,0.625,0.875
W2so,W2S0,W2SO,0,0.5,1.0
C3jqJ1Yklc,C3qJYkC,C3qJYkC,0,0.7058823529411765,0.8235294117647058
AL3E,AL3E,AL3E,1,1.0,1.0
lEH1W7,IEH1W7,IEH1w,0,0.5454545454545454,0.7272727272727273
rKWm,rtWm,rtWm,0,0.75,0.75
RT6T,RT6T,RT6T,1,1.0,1.0
j1KUM,jkNUM,jKLUcM,0,0.7272727272727273,0.7272727272727273
2oknR,2Ok nR,20kNR,0,0.6,0.8
tbAfM,tbfm,tbff1,0,0.6,0.6
nDIh,nDqh,nph,0,0.5714285714285714,0.5714285714285714
rBZdVRWw,rBZdYRw,rBZqLRWNw,0,0.7058823529411765,0.7058823529411765
iesDGlS,IESDGCLS,IESDGCLS,0,0.4,0.9333333333333333
FXuEie9,FXukeie9,FXukie9,0,0.8571428571428571,0.8571428571428571
s597zC,S5977C,S5977C,0,0.6666666666666666,0.8333333333333334
XzTZ,X2Tz,XzTz,0,0.75,1.0
5stvfX,SsTAVFx,5stVFx,0,0.5,1.0
rxEl,REX1,rExl,0,0.75,0.75
KWuGw0f,KwUGw0f,KwUqw0f,0,0.5714285714285714,0.8571428571428571
lQlskUPy,QISKPY,Volskupy,0,0.5,0.75
fqgYZxL,logYX,logY>xI,0,0.42857142857142855,0.42857142857142855
oBUACb4,OBUACb,oBUACbx,0,0.8571428571428571,0.8571428571428571
fRtmmql2T,fRAmz9k2T,fRMmz912T,0,0.5555555555555556,0.6666666666666666
S7wtR,SWLTR,SwltR,0,0.8,0.8
UGBN2bb,uGBN2b6,UGBNv2bb,0,0.9333333333333333,0.9333333333333333
TBlNXcxk,TBlXcK,TBMXCk,0,0.5714285714285714,0.7142857142857143
quUh4,aUkH4,aUkH4,0,0.4,0.6
ILqxLErt,LQXVYR,LqxVz,0,0.46153846153846156,0.46153846153846156
yI4rv,uAr2N,yR7rN,0,0.4,0.4
qfl4,sf\\4,BfV4,0,0.5,0.5
ln1ICxF,lhlCXF,lhlCXF,0,0.46153846153846156,0.6153846153846154
SYozvl5xO,SYoZvrxo,SolveItXO,0,0.4444444444444444,0.5555555555555556
aic8,a.iG8,a.C8,0,0.5,0.75
ymnAF5F,ymnAFj,ymnFja,0,0.6153846153846154,0.6153846153846154
65exi,65ex,65ex1,0,0.8,0.8
vbqIflgp,vbgfigp,"vbq>flg,p",0,0.8235294117647058,0.8235294117647058
iOCgFN9,zOCsFN9,i0C8FN9,0,0.7142857142857143,0.7142857142857143
tnjbUU5Hq,tnjb5H,tnjbu5H,0,0.75,0.875
oEtU,OEtU,OEtU,0,0.75,1.0
3JaZL8l4e,3)aZ8l4e,aZ8l4e,0,0.8,0.8
MSVMr4N,M<sub>S</sub>r<sup>4N</sup>,M<sub>S</sub>r<sup>4N</sup>,0,0.29411764705882354,0.29411764705882354
7Q9945b,X290456,>29045b,0,0.5714285714285714,0.5714285714285714
dFwm6y,d4Wm6Y,dkWmV6y,0,0.6153846153846154,0.7692307692307693
AL3E,AL3E,AL3E,1,1.0,1.0
5joZDVN,5JOZdVm,5JOZDVM,0,0.5714285714285714,0.8571428571428571
bcKp3,BCF+Q3,Bc74p3,0,0.5454545454545454,0.7272727272727273
XhKfUplot,xhkfU,xhkfUO,0,0.4,0.8
4oeBOZth,VOEB0ZTH,AOEBOZH,0,0.4,0.8
LqsXuE,LasXue,LaSXuE,0,0.6666666666666666,0.8333333333333334
osjevtv,osjevrv,osjevvv,0,0.8571428571428571,0.8571428571428571
Ijkcc,Ijkkcc,IjKcc,0,0.8,1.0
JdikHQ0,JdXKHQ0,JdlKHFQ0,0,0.6666666666666666,0.8
osjevtv,osjevvv,osjevvv,0,0.8571428571428571,0.8571428571428571
Ji6hNbg,j-6hNb g,j-6hNb g,0,0.6666666666666666,0.8
