Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
tJRma,TJRoma,tjRma,0,0.8,1.0
nMeorW,newW,nmEorW,0,0.6666666666666666,1.0
YFg5,Y65g5,YFg5,1,1.0,1.0
Ji6hNbg,j6Hnbg,>/'6hNbg,0,0.6666666666666666,0.6666666666666666
0eWWN,OELZWN,oLzWN,0,0.4,0.4
CxKIsu,CXISU,cXIsU,0,0.36363636363636365,0.9090909090909091
tJRma,TJRoma,tjRma,0,0.8,1.0
nMeorW,newW,nmEorW,0,0.6666666666666666,1.0
YFg5,Y65g5,YFg5,1,1.0,1.0
Ji6hNbg,j6Hnbg,j.6hNVbg,0,0.6666666666666666,0.8
0eWWN,OELZWN,oLzWN,0,0.4,0.4
CxKIsu,CXISU,cXIsU,0,0.36363636363636365,0.9090909090909091
tOdarIL,OdqrL,todayrlL,0,0.6666666666666666,0.8
fZ1dZLC6r,fz1dKeVC6r,fz1qEvc6r,0,0.4444444444444444,0.6666666666666666
UlOCoH,U10CH,ulOC0H,0,0.6666666666666666,0.8333333333333334
lEH1W7,EH1w1,/EH1w7,0,0.6666666666666666,0.8333333333333334
tm3GJ,TM3GJ,TMBGJ,0,0.4,0.8
TBlNXcxk,BLACK,TBIVCk,0,0.42857142857142855,0.5714285714285714
1d1Xfu,1d7XF4U,ad7Xfu,0,0.6666666666666666,0.6666666666666666
L1Qd4X,LOADAX,LRdAx,0,0.36363636363636365,0.5454545454545454
uHrGRWcP,UHRGWCp,uHrGRWCp,0,0.75,1.0
e39v,e3gV9,e39V,0,0.75,1.0
xgphOyo,xgraphOyo,xsphOy0,0,0.7142857142857143,0.7142857142857143
3IuveJl,IuVe13,3IuveJ1,0,0.8571428571428571,0.8571428571428571
mMNP1,MNP1,mMNp1,0,0.8,1.0
H6dM,H6dm,H6dM,1,1.0,1.0
6L9Maje,6LogMaje,6L9Maje,1,1.0,1.0
QGw2,QGWR2,QGW2,0,0.75,1.0
uIkHn5ue,UNKH5ue,uXHn5ue,0,0.8,0.8
MQxU6D,MXU6D,MqXU6D,0,0.6666666666666666,1.0
tnjbUU5Hq,tnjb5H,tnjbUWsHa,0,0.6666666666666666,0.6666666666666666
Tjne,TUJE,Tune,0,0.75,0.75
jBXnst,JBnst,jBxhnst,0,0.7692307692307693,0.9230769230769231
qiUH,QIUH,aiUH,0,0.75,0.75
