Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
SJTU,sTU,sTU,0,0.5714285714285714,0.8571428571428571
OjzrO0,OJroo,OJroo,0,0.36363636363636365,0.7272727272727273
9yqMong1,9yqMOnq,9YPMON9G,0,0.25,0.75
OY9VIw,o%VW,O%VW,0,0.4,0.6
eKLJx,ekLJx,eKLJx,1,1.0,1.0
ydMz3CV2,ydM3CV,dMCV,0,0.6666666666666666,0.6666666666666666
tm3GJ,TM3GJ,TM3GJ,0,0.6,1.0
IHsBxfYuD,IHSBxKvD,IHSBXWDS,0,0.47058823529411764,0.7058823529411765
LqsXuE,LaSXuE,L&SXuE,0,0.6666666666666666,0.8333333333333334
bcKp3,BC74P3,BC+QP3,0,0.18181818181818182,0.7272727272727273
xU4U42g,XU4U42g,XU4U429,0,0.7142857142857143,0.8571428571428571
yI4rv,17RN,xPRN,0,0.0,0.2222222222222222
Mt1XGUVm,MXGUvm,MITXGUm,0,0.6666666666666666,0.8
7XsXzNO,7XSZNO,7XSZNO,0,0.6153846153846154,0.9230769230769231
TYURtD,TYUrtD,TYURtD,1,1.0,1.0
bGMTq,bgMTq,bGmMQq,0,0.7272727272727273,0.7272727272727273
DiON51ylQ,DiON5]y\Q,DION51Y1Q,0,0.6666666666666666,0.8888888888888888
2BTqS,2BT9S,2BTqS,1,1.0,1.0
6Wjv8da,6wJV8dq,6L4V8dq,0,0.42857142857142855,0.5714285714285714
uhQruYw,4bqruYW,yhoRuYW,0,0.42857142857142855,0.7142857142857143
rxEl,rXEI1,REX1,0,0.25,0.5
P5uuIXgC,P5uIixgc,P5U1XC9C,0,0.5,0.625
PvGlnZ,PVGNZ,PNGNZ,0,0.5454545454545454,0.7272727272727273
2oknR,20knR,20kNR,0,0.6,0.8
6ue8etyv3,6uesetyVB,6u8ety3,0,0.875,0.875
ln1ICxF,lb/CxF,1hlCXF,0,0.46153846153846156,0.6153846153846154
u8t5c,u8t5c,u8t5C,0,0.8,1.0
Hfj87c,Hrjg87C,HJ87C,0,0.5454545454545454,0.9090909090909091
Mmuz,MmvuZ,n7mWZ,0,0.2222222222222222,0.4444444444444444
Drtq,DrQ,DrQ,0,0.5714285714285714,0.8571428571428571
t1zX,HZx,NZX,0,0.2857142857142857,0.5714285714285714
FkA9eg3gD,FkA9e83xD,FkA%e&3&D,0,0.6666666666666666,0.6666666666666666
K0QBsgp6,K0QBSgP6,KOQBSgP6,0,0.625,0.875
S7wtR,SWLTR,SWTR,0,0.4444444444444444,0.8888888888888888
VKzLv,V^2LV,V<2LV,0,0.4,0.6
1mGAp,\mGAp,ImGAp,0,0.8,0.8
vTn9,V1NG9,V1NG9,0,0.2222222222222222,0.6666666666666666
wCwdZc,WCDWZC,WCDZ,0,0.4,0.8
CmrcOR,GMrCOR,CMRCO,0,0.36363636363636365,0.9090909090909091
fZ1lKw,fZlIKw,FZVKW,0,0.36363636363636365,0.7272727272727273
oUzfO,OzfO,OZZO,0,0.2222222222222222,0.6666666666666666
JKWeA3,K^2EA3,KEA3,0,0.6,0.8
C3jqJ1Yklc,C3qJYkC,C3qJfKc,0,0.5882352941176471,0.7058823529411765
Tnjub,TnJwB,TnJwb,0,0.6,0.8
AweT,AWetT,AWET,0,0.5,1.0
6KAHAVZm,6kAHAvk>m,6KAHAVKm,0,0.875,0.875
TYXTMG,TLYXMG,7XYMG,0,0.5454545454545454,0.5454545454545454
Mmuz,n7mWZ,n7mWZ,0,0.2222222222222222,0.4444444444444444
BRnni8XLch,BRhni8Lw,BRn1LCW,0,0.47058823529411764,0.5882352941176471
DiON51ylQ,DiON51y\Q,DION51Y1Q,0,0.6666666666666666,0.8888888888888888
Hv7ir,HN7iK,HN7K,0,0.4444444444444444,0.4444444444444444
230a5s,23OaaS,230a5S,0,0.8333333333333334,1.0
nZe598xq,n1e598x9,nz598x9,0,0.6666666666666666,0.8
duHlxe,DuHLXE,DUHLXE,0,0.16666666666666666,1.0
2Ffbq0TD3,2fAfaqOTD3,2fbqTD3,0,0.875,0.875
RE83,RE83,Req833,0,0.6,0.8
4vitovy5N,4V1O5N,4V10^5N,0,0.375,0.5
Gf4TM8,G4TM8,G4TM8,0,0.9090909090909091,0.9090909090909091
fp5R,P5R,P5R,0,0.5714285714285714,0.8571428571428571
atzdo,axZd0,&XZ0,0,0.0,0.2222222222222222
yI80LKpMF,yISOlKpMF,Y18OLKPFMF,0,0.5263157894736842,0.7368421052631579
fynF9K,fMF9k,FYM9K,0,0.5454545454545454,0.7272727272727273
jNdzNLqPw,jdNxeNLqpw,j'dNl9pw,0,0.35294117647058826,0.7058823529411765
uIkHn5ue,UknHn5Ue,UNK5nUe,0,0.26666666666666666,0.6666666666666666
Ltq1,ltaL,Ltql,0,0.75,0.75
xGgbRD,xGgbRD,GgbRD,0,0.9090909090909091,0.9090909090909091
bPOeTe,bpOeleT,b0ete,0,0.5454545454545454,0.7272727272727273
Am49pc8,Avn49pCc8,AN9PC88,0,0.42857142857142855,0.7142857142857143
rqj7z,zqjk,nqjk,0,0.4444444444444444,0.4444444444444444
rBZdVRWw,rBZqIRWWw,xBL1aRWNW,0,0.35294117647058826,0.47058823529411764
0an92uZj,aKW92kj,aK>9uj,0,0.5714285714285714,0.5714285714285714
foWNL1JU,FOLLOWJU,FOLLOWJU,0,0.375,0.625
x1mo,x1m0,X1M0,0,0.25,0.75
Ad25YTCQ,Aq25yTCq,A25TC,0,0.7692307692307693,0.7692307692307693
oBUACb4,OBUACb4,OBUACHb,0,0.7142857142857143,0.8571428571428571
