Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
SJTU,sTU,sU,0,0.3333333333333333,0.6666666666666666
OjzrO0,OJroo,OjLr,0,0.6,0.6
9yqMong1,9yqMOnq,9yqMOnq,0,0.6666666666666666,0.8
OY9VIw,o%VW,o9v/w,0,0.36363636363636365,0.7272727272727273
eKLJx,ekLJx,ekLJx,0,0.8,1.0
ydMz3CV2,ydM3CV,ydM<3CV,0,0.8,0.8
tm3GJ,TM3GJ,TMBGJ,0,0.4,0.8
IHsBxfYuD,IHSBxKvD,IHSBxYWo,0,0.5882352941176471,0.7058823529411765
LqsXuE,LaSXuE,LasXue,0,0.6666666666666666,0.8333333333333334
bcKp3,BC74P3,BCP3,0,0.2222222222222222,0.8888888888888888
xU4U42g,XU4U42g,xU4U42g,1,1.0,1.0
yI4rv,17RN,vArvN,0,0.4,0.4
Mt1XGUVm,MXGUvm,MTXGUvm,0,0.6666666666666666,0.9333333333333333
7XsXzNO,7XSZNO,7XSZNO,0,0.6153846153846154,0.9230769230769231
TYURtD,TYUrtD,TUVrtD,0,0.6666666666666666,0.8333333333333334
bGMTq,bgMTq,bGmTq,0,0.8,1.0
DiON51ylQ,DiON5]y\Q,DiON5]y\Q,0,0.7777777777777778,0.7777777777777778
2BTqS,2BT9S,2BT9qS,0,0.9090909090909091,0.9090909090909091
6Wjv8da,6wJV8dq,6wjiV8da,0,0.6666666666666666,0.9333333333333333
uhQruYw,4bqruYW,u4b0rurw,0,0.5333333333333333,0.5333333333333333
rxEl,rXEI1,rXE1,0,0.5,0.75
P5uuIXgC,P5uIixgc,P5uIixgc,0,0.625,0.875
PvGlnZ,PVGNZ,PVGNZ,0,0.5454545454545454,0.9090909090909091
2oknR,20knR,2OkNr,0,0.4,1.0
6ue8etyv3,6uesetyVB,648etyVB,0,0.5882352941176471,0.7058823529411765
ln1ICxF,lb/CxF,lb\\CxF,0,0.5714285714285714,0.5714285714285714
u8t5c,u8t5c,48t5c,0,0.8,0.8
Hfj87c,Hrjg87C,Hrj87C,0,0.6666666666666666,0.8333333333333334
Mmuz,MmvuZ,MmvuZ,0,0.6666666666666666,0.8888888888888888
Drtq,DrQ,Drq,0,0.8571428571428571,0.8571428571428571
t1zX,HZx,HZX,0,0.2857142857142857,0.5714285714285714
FkA9eg3gD,FkA9e83xD,FkAxeg3sD,0,0.7777777777777778,0.7777777777777778
K0QBsgp6,K0QBSgP6,K0QB86,0,0.7142857142857143,0.7142857142857143
S7wtR,SWLTR,S>wtR,0,0.8,0.8
VKzLv,V^2LV,V2LV,0,0.4444444444444444,0.6666666666666666
1mGAp,\mGAp,ymGAp,0,0.8,0.8
vTn9,V1NG9,vTng,0,0.75,0.75
wCwdZc,WCDWZC,WCWDZS,0,0.3333333333333333,0.8333333333333334
CmrcOR,GMrCOR,GMrCOr,0,0.3333333333333333,0.8333333333333334
fZ1lKw,fZlIKw,fZlKkW,0,0.6666666666666666,0.8333333333333334
oUzfO,OzfO,OzfO,0,0.6666666666666666,0.8888888888888888
JKWeA3,K^2EA3,kKwA3,0,0.5454545454545454,0.7272727272727273
C3jqJ1Yklc,C3qJYkC,C3-qjYkC,0,0.5555555555555556,0.7777777777777778
Tnjub,TnJwB,Thj\\b,0,0.5454545454545454,0.5454545454545454
AweT,AWetT,Awet,0,0.75,1.0
6KAHAVZm,6kAHAvk>m,6KAHAV>m,0,0.875,0.875
TYXTMG,TLYXMG,TLYXMG,0,0.8333333333333334,0.8333333333333334
Mmuz,n7mWZ,MmuuZ,0,0.6666666666666666,0.8888888888888888
BRnni8XLch,BRhni8Lw,BRznisoyLw,0,0.5,0.5
DiON51ylQ,DiON51y\Q,DioN5]y\Q,0,0.6666666666666666,0.7777777777777778
Hv7ir,HN7iK,HV7,0,0.5,0.75
230a5s,23OaaS,23Oa5S,0,0.6666666666666666,0.8333333333333334
nZe598xq,n1e598x9,n1e598x9,0,0.75,0.75
duHlxe,DuHLXE,DuHLXE,0,0.3333333333333333,1.0
2Ffbq0TD3,2fAfaqOTD3,2ffbq0TD3,0,0.8888888888888888,1.0
RE83,RE83,RE83,1,1.0,1.0
4vitovy5N,4V1O5N,4ViOL5N,0,0.5,0.75
Gf4TM8,G4TM8,Gf4TM8,1,1.0,1.0
fp5R,P5R,xP5R,0,0.5,0.75
atzdo,axZd0,axZd0,0,0.4,0.6
yI80LKpMF,yISOlKpMF,YSOLKPMF,0,0.47058823529411764,0.7058823529411765
fynF9K,fMF9k,fymF9k,0,0.6666666666666666,0.8333333333333334
jNdzNLqPw,jdNxeNLqpw,jdxeNLqpw,0,0.6666666666666666,0.7777777777777778
uIkHn5ue,UknHn5Ue,UknHn5ue,0,0.75,0.875
Ltq1,ltaL,Lta1,0,0.75,0.75
xGgbRD,xGgbRD,*GgbrD,0,0.6666666666666666,0.8333333333333334
bPOeTe,bpOeleT,bPOete,0,0.8333333333333334,1.0
Am49pc8,Avn49pCc8,mA9pC8,0,0.6153846153846154,0.7692307692307693
