Actual Solution,Predicted Solution,Result
BZAQ,6ZAQ,0
BkqcNgVQc,BkqCngVqC,0
k11Sb1,k8h5,0
03AdAR2,O3AdAR2,0
hQbRpNHJ,hQoBRPNhJ,0
hzcmvwjb,hCmWib,0
QHAX,I can't extract text from images.,0
EHl0iticVd,EHV0iticvda,0
QWXSIWBy,QWXS/WBY,0
stlcp3G,stcp3G,0
PJxc7qUI,pCxC7qUI,0
EDKR,EDKRR,0
djIrV8,djlVz8,0
oxysKroz,0xy5tr0,0
PNXZ,PNXZ3,0
R9lM,R9M,0
BJr0j5t5T,BJ0j5T,0
KQQ9,KAQQ9,0
GTBU,GTBU,1
ZpTrqUB,zpr1aUB,0
a1Liy7JX,a7yJx,0
GKQY,GHDY,0
S8YT,S8YT,1
ZK3ktTE,zK3tTE,0
BwRBqJ,BWrB9J,0
GhqW,GqNW,0
Pu2S,qZ5sD,0
Am49pc8,mA9C8,0
HXLqL9zv6,HxL9w6,0
AWYV,AWYV,1
ERHCP,ERHCP,1
BVFA,I can't extract the text from the image.,0
tOWfSf7o,t0WFSr70,0
xC6X,xC6X,1
6ue8etyv3,6u8etyV3,0
uZlITJuw,uZIlJUw,0
FYPX,FYRK,0
vnxt5p,vnx5p,0
k4uXNK,4UjXN8k,0
3IuveJl,3IuVe1,0
eejA,eeia,0
dDZ8,dDZ8,1
d6avk,d6QVk,0
WHHW,WHRM,0
Lk2pgBh,Lk2p8Bh,0
XME3vu,XME3vM,0
awKJUj7ox,awJu0x7,0
JQxT,JQHT,0
rap8H6,rap8H6,1
UkaB1yj,cvabyj,0
sCB1M,sQBm,0
IfjCzGX,IØCZGX,0
fllR5,kM7s,0
x5JysRYF,x5jysryF,0
WSAmK,WSAtK,0
10Hy9,10y9,0
ISDP,I can't extract or recognize text from images.,0
HT9P,HTQP,0
8bfR7wZi,8bfrZTi,0
2hYxS7Rxa,2hYxSRxa,0
BMXS,BMXsS,0
G3Rj,G3R4,0
LKy76,LKY76,0
27EZ,27EZ,1
KKBE,I can't extract text from images.,0
rucR5,hUCR5,0
TaGYo,TaGYo,1
U8uT3Wayw,c8UT3Wayw,0
ThMMgtht,hMgtnt,0
9kty,9kyv,0
ogHs,08HS,0
ZcEO,ZC3O,0
5S7G,5SGT,0
PPPZ,pDPZ,0
oL3iPd,0<3ipd,0
B5VWF,B5WMF,0
O8GQfFGr,08G0fFGr,0
YhuhHAzU2,yhuHhAZu2,0
akfYEb,akfE6b,0
lZZucF,zlUCf,0
XbtM,xbtM,0
4W13,4N13,0
oWZN,OWNwN,0
6gsIxntx1v,6gslXXxl,0
Sh76,sh76,0
skqdqk0aY,skdqkOaY,0
O2Q4,0204,0
1ljxtpE,ljxPEE,0
gIjO5667r,g1o566r,0
qBf1Ku7wb,abfkuwb,0
0LYA1Jh,OBhNn,0
DY3Y,Dr3y,0
dWY6bRR,dWY6bR_R,0
wPZLqwA,WPZLNA,0
XMJ8,XVM28,0
LpHipT,LPh1pT,0
W687,W687,1
cYwx,cWk7,0
JiFEn,jJrEn,0
rQ9xpo,rQ9pO,0
Qz9fCpSzjD,g9fcpsD,0
Wd9dV,wq9dl,0
SZLYnBUOG,SZLYNBUG0G,0
F20k,F2k,0
Tjne,TUNE,0
wtt4HnPG,t4HnRG,0
2EiSp,2E1SP,0
xdqD9W1,XdaD9w1,0
us8K7,u58k7,0
KCqL4,kCA4,0
ENUV,ENUV,1
xbQg7rjsT,90Pg7risT,0
yuKK,UKcR,0
sFrU,SF7u,0
KfqhDIP2,kfqhdI2P,0
JVNSgX,JVNSgX,1
o0iL6D,O0iLdD,0
WN9BC,WNDnBC,0
uZD7eIduX,uZd7eIdyX,0
0bazwyQ,ObaZlwyQ,0
iruug,iruwg,0
ChZmom,Ch3n0m,0
Md19,m2g9,0
ufKO,ufKO,1
3VuoqJd,3vwqA,0
FDLwOCC,FDwOCC,0
qqJRl,QZPA,0
WdbC,w3bC,0
6ruN7LA1,6ruZLAl,0
hZWPj,hzWRj,0
VAR06,VAR06,1
6KE7,6A7M,0
oUzfO,OZ0O,0
AWQE,ANQE,0
vwqk0kG,Lz9k0kG,0
KY7L,I'm unable to assist with extracting text from images.,0
4ATB,4A2B,0
H1VK,Hl7k,0
TjsSdtOF,jssd t0F,0
Lkgqj,LKQDJ,0
8BeJu3rry,8BeuL3rY,0
makH,mаkHkH,0
ijjn,zinN,0
2MnKF54,2M2kF54,0
PgHL,P8oHL,0
34VNZ2xfOG,3D4VNZ2xfOG,0
SR5F,SRF,0
xCkllld,xCk1Ld,0
hCxvDUey,hCxvDUgY,0
eo84L9J,e08I19,0
Q6Tqe,Q6yee,0
ZtiJO,ztioo,0
V005,v005,0
U53V,U53V,1
qeH3FulA,aeH3FwuA,0
oV17,oV1Z7,0
L4B1u16,LBu216,0
qCXy,qCYv,0
2rmGlyNXiM,2mGlinm,0
qAFrY9L5,qAFRY9L5,0
Nxo4FjeWL,Nco4FjWL,0
